"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,41.083619,1.330675,"ns/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1476.170829,49.020940,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,96.000018,0.000003,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1475.044263,102.120673,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,95.924764,5.179841,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004410,0.007570,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000286,0.000485,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,167.000000,NaN,"counts",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,46.000000,NaN,"ms",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,58.340282,1.720023,"ns/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1213.473429,30.525528,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,112.000026,0.000004,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1218.985217,87.607396,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,112.504031,6.161760,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004447,0.007746,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000411,0.000725,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,138.000000,NaN,"counts",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,39.000000,NaN,"ms",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,219.865608,6.577675,"ns/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,827.530220,35.268137,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,288.000096,0.000010,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,830.403403,78.445171,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,289.009372,26.415648,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004858,0.009029,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.001685,0.003075,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,94.000000,NaN,"counts",US-ASCII,200
