"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,21.463585,0.796349,"ns/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1411.587575,46.750498,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,48.000009,0.000001,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1412.133722,108.397983,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,48.018286,3.246873,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004358,0.007060,"MB/sec",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000148,0.000238,"B/op",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,160.000000,NaN,"counts",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,19.000000,NaN,"ms",US-ASCII,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,25.429486,0.295109,"ns/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1589.516885,21.774628,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,64.000010,0.000000,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1589.768836,8.241143,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,64.010662,0.738379,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004325,0.007202,"MB/sec",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000174,0.000287,"B/op",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,180.000000,NaN,"counts",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,20.000000,NaN,"ms",US-ASCII,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,34.397171,9.065321,"ns/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,4417.031812,1040.139903,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,240.000014,0.000004,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,4419.870257,1045.816308,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,240.150508,0.509055,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004512,0.009601,"MB/sec",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000253,0.000622,"B/op",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,501.000000,NaN,"counts",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,43.000000,NaN,"ms",US-ASCII,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,283.958154,62.089483,"ns/op",US-ASCII,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,4542.076138,1026.763605,"MB/sec",US-ASCII,2000
