"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight","avgt",1,5,24.126410,0.115476,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight:·gc.alloc.rate","avgt",1,5,0.000258,0.000002,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight:·gc.alloc.rate.norm","avgt",1,5,0.000010,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight:·gc.count","avgt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour","avgt",1,5,11.986646,0.067766,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour:·gc.alloc.rate","avgt",1,5,0.000258,0.000002,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour:·gc.alloc.rate.norm","avgt",1,5,0.000005,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour:·gc.count","avgt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen","avgt",1,5,36.335395,0.180032,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen:·gc.alloc.rate","avgt",1,5,0.000258,0.000001,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen:·gc.alloc.rate.norm","avgt",1,5,0.000015,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen:·gc.count","avgt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight","avgt",1,5,28.644844,0.171543,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight:·gc.alloc.rate","avgt",1,5,0.000258,0.000003,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight:·gc.alloc.rate.norm","avgt",1,5,0.000012,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight:·gc.count","avgt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour","avgt",1,5,14.774474,0.072698,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour:·gc.alloc.rate","avgt",1,5,0.000259,0.000002,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour:·gc.alloc.rate.norm","avgt",1,5,0.000006,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour:·gc.count","avgt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedSixteen","avgt",1,5,56.613368,0.296960,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedSixteen:·gc.alloc.rate","avgt",1,5,0.000258,0.000005,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedSixteen:·gc.alloc.rate.norm","avgt",1,5,0.000023,0.000000,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedSixteen:·gc.count","avgt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight","avgt",1,5,53.622149,1.782352,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.alloc.rate","avgt",1,5,376.887317,7.672813,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.alloc.rate.norm","avgt",1,5,32.000020,0.000001,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.churn.Eden_Space","avgt",1,5,370.867729,90.032793,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.churn.Eden_Space.norm","avgt",1,5,31.489903,7.700239,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.churn.Survivor_Space","avgt",1,5,0.002851,0.006366,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000243,0.000546,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.count","avgt",1,5,42.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetEight:·gc.time","avgt",1,5,7.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour","avgt",1,5,29.840317,1.830070,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.alloc.rate","avgt",1,5,680.135332,42.171950,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.alloc.rate.norm","avgt",1,5,32.000011,0.000001,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.churn.Eden_Space","avgt",1,5,681.833759,85.683831,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.churn.Eden_Space.norm","avgt",1,5,32.081939,3.815990,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.churn.Survivor_Space","avgt",1,5,0.002330,0.010512,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000110,0.000496,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.count","avgt",1,5,77.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetFour:·gc.time","avgt",1,5,11.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen","avgt",1,5,105.247332,49.049506,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.alloc.rate","avgt",1,5,194.055645,80.443319,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.alloc.rate.norm","avgt",1,5,32.000040,0.000018,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Eden_Space","avgt",1,5,194.354932,95.018573,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Eden_Space.norm","avgt",1,5,32.221451,15.521320,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Survivor_Space","avgt",1,5,0.001804,0.002960,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000309,0.000629,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.count","avgt",1,5,22.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.enumSetSixteen:·gc.time","avgt",1,5,4.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight","avgt",1,5,33.237779,2.077222,"ns/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.alloc.rate","avgt",1,5,915.021977,58.699704,"MB/sec"
