"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,23.739993,0.297493,"ops/us",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,360.621397,4.465536,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000017,0.000001,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,362.872445,19.056659,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,24.152615,1.295862,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002514,0.001751,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000167,0.000115,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,123.000000,NaN,"counts",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,16.000000,NaN,"ms",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,22.417150,0.502928,"ops/us",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,568.330828,13.100376,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,40.000018,0.000001,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,567.259399,20.055165,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,39.928014,1.234309,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002695,0.002140,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000190,0.000151,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,192.000000,NaN,"counts",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,21.000000,NaN,"ms",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,21.096494,0.629228,"ops/us",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,534.442628,16.464113,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,40.000020,0.000001,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space","thrpt",1,15,537.290498,17.313496,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Eden_Space.norm","thrpt",1,15,40.237197,1.568825,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002549,0.001810,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000191,0.000134,"B/op",true,THREE
