"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation","thrpt",1,15,206.913491,3.003555,"ops/us",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,0.000262,0.000009,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate.norm","thrpt",1,15,0.000002,0.000000,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.count","thrpt",1,15,0.000000,NaN,"counts",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation","thrpt",1,15,162.014816,4.353872,"ops/us",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,1640.395619,42.098115,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate.norm","thrpt",1,15,16.000003,0.000000,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Eden_Space","thrpt",1,15,1643.013830,44.860404,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Eden_Space.norm","thrpt",1,15,16.025323,0.119696,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Survivor_Space","thrpt",1,15,0.004633,0.002107,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000045,0.000021,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.count","thrpt",1,15,557.000000,NaN,"counts",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.time","thrpt",1,15,48.000000,NaN,"ms",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation","thrpt",1,15,77.959095,2.174789,"ops/us",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValueNoAllocation:·gc.alloc.rate","thrpt",1,15,1582.543823,43.601858,"MB/sec",true,THREE
