"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,24.013132,0.459482,"ops/us",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,365.063086,7.390712,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,24.000017,0.000001,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,366.141577,21.907972,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,24.068135,1.277871,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002518,0.001764,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000165,0.000114,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,123.000000,NaN,"counts",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,16.000000,NaN,"ms",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,22.448583,0.430733,"ops/us",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,569.375631,10.722081,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,40.000018,0.000001,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,570.465577,16.956312,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,40.079280,1.077232,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002682,0.002140,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000188,0.000150,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,193.000000,NaN,"counts",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,23.000000,NaN,"ms",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,20.291617,0.898656,"ops/us",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,514.251307,22.081198,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,40.000020,0.000001,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,513.868684,23.064986,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,39.976464,0.933314,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002583,0.001639,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000202,0.000128,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,174.000000,NaN,"counts",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.time","thrpt",1,15,20.000000,NaN,"ms",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue","thrpt",1,15,20.651088,0.552091,"ops/us",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate","thrpt",1,15,524.121497,13.692741,"MB/sec",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.alloc.rate.norm","thrpt",1,15,40.000020,0.000001,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space","thrpt",1,15,520.547869,21.651232,"MB/sec",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Eden_Space.norm","thrpt",1,15,39.739010,1.691230,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space","thrpt",1,15,0.002646,0.001739,"MB/sec",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.churn.Survivor_Space.norm","thrpt",1,15,0.000202,0.000133,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapValue:·gc.count","thrpt",1,15,176.000000,NaN,"counts",true,FOUR
