"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,210.944455,2.533736,"ops/us",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.243560,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.002451,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,23.466546,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.005456,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.003325,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000344,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.000784,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000122,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000419,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.000750,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,13.694031,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,16.459805,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000031,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,23.355222,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000006,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.015977,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000022,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000011,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,67.580022,NaN,"#/op",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,134.423837,0.781129,"ops/us",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.244732,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.001582,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,31.498141,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.998985,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.001345,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000079,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.000225,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000530,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000388,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.001326,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,24.188911,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,25.567408,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000158,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,31.316754,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000013,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.995234,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000038,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000104,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,104.471164,NaN,"#/op",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,91.809473,0.532367,"ops/us",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.225563,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.002258,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,47.045057,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.975710,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.004960,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000993,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.002196,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000419,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.002052,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.001110,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,43.220619,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,36.502962,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000327,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,44.467675,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000024,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.946598,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000029,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000118,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,161.830215,NaN,"#/op",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,16.573072,0.153039,"ops/us",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.219132,NaN,"#/op",7,1,256
