"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight","thrpt",1,5,39.172942,0.123480,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight:·gc.alloc.rate","thrpt",1,5,0.000271,0.000105,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight:·gc.alloc.rate.norm","thrpt",1,5,0.000011,0.000004,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationEight:·gc.count","thrpt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour","thrpt",1,5,75.938399,0.679215,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour:·gc.alloc.rate","thrpt",1,5,0.000271,0.000105,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour:·gc.alloc.rate.norm","thrpt",1,5,0.000006,0.000002,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationFour:·gc.count","thrpt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen","thrpt",1,5,26.404541,0.115895,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen:·gc.alloc.rate","thrpt",1,5,0.000282,0.000123,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen:·gc.alloc.rate.norm","thrpt",1,5,0.000017,0.000007,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.bitIterationSixteen:·gc.count","thrpt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight","thrpt",1,5,44.610213,0.157610,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight:·gc.alloc.rate","thrpt",1,5,0.122995,0.446911,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight:·gc.alloc.rate.norm","thrpt",1,5,0.004337,0.015757,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedEight:·gc.count","thrpt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour","thrpt",1,5,86.207807,0.337751,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour:·gc.alloc.rate","thrpt",1,5,0.000271,0.000105,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour:·gc.alloc.rate.norm","thrpt",1,5,0.000005,0.000002,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedFour:·gc.count","thrpt",1,5,0.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedSixteen","thrpt",1,5,22.508088,0.956022,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.cachedSixteen:·gc.alloc.rate","thrpt",1,5,0.102451,0.590789,"MB/sec"
