A,22839
B,273354
C,121229
D,4700
E,27950
F,94085
G,330670
H,127680
I,281084
J,62727
K,14954
L,33905
M,27230
N,59115
O,8553
P,4240
Q,71721
R,102449
S,94223
T,12395
U,66115
V,111200
W,172954
X,110299
Y,132326
Z,255024
a,162002
b,218234
c,136908
d,195355
e,20377
f,94
g,278125
h,169472
i,75580
j,19201
k,75487
l,206994
m,139146
n,44822
o,98278
p,74233
q,827
r,9175
s,69992
t,32486
u,85199
v,77707
w,48783
x,33423
y,101927
z,64031
0,110846
1,49315
2,125330
3,70241
4,30279
5,74239
6,4987
7,5818
8,13028
9,68907
+,172
/,2251
