"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadInt","thrpt",1,5,81.272655,1.222310,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadInt","thrpt",1,5,43.289484,0.668913,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadInt","thrpt",1,5,29.162210,1.016376,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadInt","thrpt",1,5,21.826052,0.279541,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadLong","thrpt",1,5,155.455175,2.312735,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadLong","thrpt",1,5,80.780550,1.158826,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadLong","thrpt",1,5,54.820042,1.382570,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadLong","thrpt",1,5,42.021157,0.729546,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadShort","thrpt",1,5,42.111858,0.626915,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadShort","thrpt",1,5,21.356162,0.125743,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadShort","thrpt",1,5,14.450780,0.138482,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferBackedDataInputReadShort","thrpt",1,5,10.825334,0.090420,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadInt","thrpt",1,5,97.325228,2.043539,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadInt","thrpt",1,5,53.020545,0.978578,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadInt","thrpt",1,5,37.221295,0.395188,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadInt","thrpt",1,5,28.233721,0.325637,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadLong","thrpt",1,5,160.254072,1.396077,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadLong","thrpt",1,5,97.776234,1.843135,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadLong","thrpt",1,5,68.409684,3.233650,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadLong","thrpt",1,5,54.123143,0.460639,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadShort","thrpt",1,5,52.527260,0.254499,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadShort","thrpt",1,5,27.273882,0.617602,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadShort","thrpt",1,5,18.338352,0.393916,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.bufferReadShort","thrpt",1,5,13.951124,0.140062,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.readInt","thrpt",1,5,114.775205,0.917455,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.readInt","thrpt",1,5,69.603001,3.151660,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.readInt","thrpt",1,5,50.685407,0.591576,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.readInt","thrpt",1,5,39.529951,0.889664,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.readIntUnsafe","thrpt",1,5,160.352676,8.757023,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.readIntUnsafe","thrpt",1,5,96.769843,1.091360,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.readIntUnsafe","thrpt",1,5,68.558268,1.476357,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.readIntUnsafe","thrpt",1,5,53.334919,0.764667,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.readLong","thrpt",1,5,127.079899,4.419729,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.readLong","thrpt",1,5,80.770733,2.100344,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.readLong","thrpt",1,5,59.383515,1.904205,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.readLong","thrpt",1,5,46.668391,0.480255,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.readLongUnsafe","thrpt",1,5,239.216078,56.304093,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.readLongUnsafe","thrpt",1,5,158.601884,7.983115,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.readLongUnsafe","thrpt",1,5,121.005021,2.362988,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.readLongUnsafe","thrpt",1,5,96.194303,1.200822,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.readShort","thrpt",1,5,80.602582,1.243976,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.readShort","thrpt",1,5,45.903209,1.067024,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.readShort","thrpt",1,5,32.022680,0.758727,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.readShort","thrpt",1,5,24.485453,0.563478,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.readShortUnsafe","thrpt",1,5,94.164838,2.383163,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.readShortUnsafe","thrpt",1,5,51.886319,2.697756,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.readShortUnsafe","thrpt",1,5,35.824198,0.463701,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.readShortUnsafe","thrpt",1,5,27.467581,0.409879,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadInt","thrpt",1,5,31.248998,0.575029,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadInt","thrpt",1,5,16.064886,0.211188,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadInt","thrpt",1,5,10.809022,0.221909,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadInt","thrpt",1,5,8.154660,0.180513,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadLong","thrpt",1,5,71.687776,1.288405,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadLong","thrpt",1,5,38.117173,0.623515,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadLong","thrpt",1,5,28.249399,0.678645,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadLong","thrpt",1,5,21.857881,0.610672,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadShort","thrpt",1,5,29.596872,0.477033,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadShort","thrpt",1,5,15.317390,0.354963,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadShort","thrpt",1,5,10.366474,0.215026,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.streamBackedDataInputReadShort","thrpt",1,5,7.840637,0.195409,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadInt","thrpt",1,5,112.023452,2.137504,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadInt","thrpt",1,5,53.289700,0.884345,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadInt","thrpt",1,5,35.552016,0.578465,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadInt","thrpt",1,5,26.834860,0.262521,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadLong","thrpt",1,5,189.746319,3.008888,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadLong","thrpt",1,5,54.470018,1.253469,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadLong","thrpt",1,5,77.869190,1.952197,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadLong","thrpt",1,5,52.694761,0.887006,"ops/us",32
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadShort","thrpt",1,5,53.479044,1.064759,"ops/us",8
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadShort","thrpt",1,5,26.794229,0.631703,"ops/us",16
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadShort","thrpt",1,5,20.188671,0.497462,"ops/us",24
"com.openkappa.runtime.datainput.DataInputBenchmark.unsafeDataInputReadShort","thrpt",1,5,15.256296,0.078391,"ops/us",32
