"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataLength","Param: dataSet","Param: logVariety","Param: searcherType","Param: seed","Param: termLength"
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.072458,0.000389,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.109908,0.001092,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.157929,0.001162,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.194815,0.001683,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.094873,0.001691,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.108657,0.001018,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.138269,0.001784,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.154230,0.001438,"us/op",100,KING_JAMES_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.128956,0.000737,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.172006,0.000712,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.194898,0.002205,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.215463,0.001351,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.239531,0.001046,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.222036,0.001185,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.221644,0.001249,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.205625,0.001114,"us/op",100,KING_JAMES_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.067759,0.000393,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.100625,0.000495,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.152156,0.001497,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.189613,0.001194,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.077971,0.001017,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.099530,0.000573,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.131496,0.037993,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.151034,0.000599,"us/op",100,LUTHER_1912_BIBLE,7,UNSAFE_BIT_SLICED_SWAR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.118806,0.000589,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.143117,0.003571,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.183641,0.001520,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.210985,0.003344,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.199494,0.014492,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,3
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.197641,0.001582,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,19
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.196667,0.001428,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,40
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.189718,0.000784,"us/op",100,LUTHER_1912_BIBLE,12,UNSAFE_BIT_SLICED_SWAR,90210,59
"com.openkappa.runtime.stringsearch.IndexOfBenchmark.indexOfSearcher","avgt",1,5,0.067758,0.000283,"us/op",100,SERBIAN_LATIN_SCRIPT,7,UNSAFE_BIT_SLICED_SWAR_PAIR,90210,3
